"id","tiny_name","name","code","width","height","external_id"
"636b5cbc62eae-6668",TchGSW.075,"TIBIO/TCHIBO Gold Selection Кофе субл д/п(Чибо):14, зиплок, .075",tchibo_gold_selection_rastvorimyy_wrp,14.00,18.50,"1000013928"
"636b5def38409-6814",Cik__W.100,"ЦИКОРИЧ Цикорий гранулированный 100г д/п(Фаворит):12, зиплок, .100",tsikorich_tsikoriy_rastvorimyy_wrp,12.50,18.00,"1000068397"
"636b55683aa54-6975",EgoNZW.250,"EGOISTE Noir Кофе зерно жар в/с м/у(Deutsche Extrakt):4, зиплок, .250",egoiste_noir_zernovoy_wrp,10.80,22.90,"1000075425"
"636b55686e451-3422",EgoNMW.250,"EGOISTE Noir Кофе нат мо в/с м/у(Deutsche Extrakt):12, зиплок, .250",egoiste_noir_molotyy_wrp,10.50,23.00,"1000075426"
"636b5cbf19626-4177",JokTRW.150,"ЖОКЕЙ Триумф Кофе сублимированный мяг/у(НЕП):12, зиплок, .150",zhokey_triumf_rastvorimyy_wrp,15.50,21.10,"1000088582"
"636b588433c85-1834",JarCMW.150,"JARDIN Colombia Medellin Кофе раствор стаб/бэг(Орими):8, зиплок, .150",jardin_colombia_medellin_rastvorimyy_wrp,15.00,21.00,"1000102438"
"636b5cb89f236-5802",NesGBW.075,"НЕСКАФЕ Голд Бариста Кофе мол в рас д/п(Нестле):12, зиплок, .075",nescafe_gold_barista_rastvorimyy_wrp,14.00,17.50,"1000106609"
"636b5cb969fb7-8002",NesGBJ.085,"NESCAFE Gold Barista style Кофе мол в рас85г ст/б(Нестле):6, Стеклянная банка, .085",nescafe_gold_barista_rastvorimyy_jar,6.65,15.90,"1000106610"
"636b5deb8b100-2989",Man__C.100,"МАГНИТ Какао порошок 100г к/уп (Россия):24, коробка, .100",magnit__stm__kakao_rastvorimoye_box,8.50,11.00,"1000110505"
"636b5562056af-1419",AmbPRJ.190,"AMBASSADOR Platinum Кофе натур раств ст/б(Штраус):6, Стеклянная банка, .190",ambassador_platinum_rastvorimyy_jar,15.00,13.00,"1000111108"
"636b5561ea4c8-8128",AmbPRJ.095,"AMBASSADOR Platinum Кофе натур раств ст/б(Штраус):6, Стеклянная банка, .095",ambassador_platinum_rastvorimyy_jar,10.50,10.20,"1000111110"
"636b5df05c945-4456",Che__J.095,"ЧЕРНАЯ КАРТА Gold Кофе сублим ст/б(Штраус):6, Стеклянная банка, .095",chernaya_karta_gold_rastvorimyy_jar,7.00,13.80,"1000111111"
"636b5df0299f4-4971",CheVZW.250,"ЧЕРНАЯ КАРТА Кофе зерно стаб/бэг(Штраус) :6, зиплок, .250",chernaya_karta_v_zernah_wrp,9.00,22.50,"1000116505"
"636b5df043f69-4921",Che__W.250,"ЧЕРНАЯ КАРТА Кофе молот натур жареный 250г мяг/у(Штраус):12, зиплок, .250",chernaya_karta_molotyy_wrp,9.00,22.50,"1000116506"
